Texas Pacific Land Price to Free Cash Flow Ratio Historical Data,Texas Pacific Land Price to Free Cash Flow Ratio Historical Data,Texas Pacific Land Price to Free Cash Flow Ratio Historical Data,Texas Pacific Land Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1371.48,,68.71
2024-12-31,1105.96,$19.96,55.41
2024-09-30,884.74,$19.70,44.92
2024-06-30,734.27,$19.34,37.97
2024-03-31,578.51,$18.01,32.12
2023-12-31,1572.45,$16.61,94.69
2023-09-30,1823.56,$17.38,104.9
2023-06-30,1316.5,$17.82,73.88
2023-03-31,1701.02,$18.85,90.25
2022-12-31,2344.23,$18.44,127.14
2022-09-30,1777.23,$16.71,106.36
2022-06-30,1485.59,$14.94,99.46
2022-03-31,1332.35,$13.05,102.07
2021-12-31,1227.76,$10.76,114.13
2021-09-30,1186.45,$9.00,131.8
2021-06-30,1565.91,$8.35,187.58
2021-03-31,1552.98,$8.07,192.42
2020-12-31,708.7,$8.51,83.29
2020-09-30,433.93,$8.89,48.8
2020-06-30,571.48,$8.98,63.66
2020-03-31,365.18,$8.24,44.32
2019-12-31,731.9,$10.15,72.13
2019-09-30,608.56,$9.98,60.99
2019-06-30,737.31,$8.85,83.29
2019-03-31,724.81,$9.08,79.78
2018-12-31,503.23,$5.92,85.05
2018-09-30,801.41,$4.50,177.94
2018-06-30,646.05,$4.21,153.46
2018-03-31,469.59,$3.61,130.15
2017-12-31,411.78,$3.19,129.19
2017-09-30,372.57,$2.88,129.19
2017-06-30,270.86,$2.24,121.17
2017-03-31,257.92,$2.16,119.56
2016-12-31,272.38,$1.67,163.21
2016-09-30,219.66,$1.52,144.68
2016-06-30,154.79,$1.56,99.35
2016-03-31,133.55,$1.19,112.53
2015-12-31,119.91,$2.01,59.74
2015-09-30,128.46,$2.12,60.63
2015-06-30,137.83,$1.97,70.14
2015-03-31,132.67,$2.42,54.77
2014-12-31,107.86,$1.54,70.0
2014-09-30,175.91,$1.34,131.26
2014-06-30,146.36,$1.54,95.33
2014-03-31,118.38,$1.36,87.27
2013-12-31,91.22,$1.16,78.37
2013-09-30,77.12,$1.17,66.1
2013-06-30,76.99,$0.76,100.91
2013-03-31,64.3,$0.63,101.37
2012-12-31,48.51,$0.74,65.46
2012-09-30,49.63,$0.81,61.05
2012-06-30,51.6,$0.88,58.67
2012-03-31,42.61,$0.94,45.18
2011-12-31,36.59,$0.85,42.87
2011-09-30,32.68,$0.70,46.66
2011-06-30,40.66,$0.53,76.42
2011-03-31,40.16,$0.51,79.37
2010-12-31,32.45,$0.40,80.66
2010-09-30,35.61,$0.40,89.42
2010-06-30,23.4,$0.39,59.69
2010-03-31,24.91,$0.38,65.92
2009-12-31,26.54,$0.31,85.13
